[00:00:00.407 --> 00:00:00.887]  Your debt.
[00:04:15.925 --> 00:04:16.466]  I'm nervous.
[00:04:17.887 --> 00:04:25.915]  I'm overwhelmed because I don't think I can do a good enough job telling you how powerful Apocalypto is.
[00:04:26.636 --> 00:04:28.738]  This is the best movie I have ever seen.
[00:04:33.976 --> 00:04:38.138]  I guess it's a hobby to study Mesoamerica because it's so interesting.
[00:04:38.478 --> 00:04:40.198]  I have been all over Mesoamerica.
[00:04:40.258 --> 00:04:45.640]  I have been to many of the big public sites and to many of the sites that haven't even really been dug up.
[00:04:46.040 --> 00:04:57.544]  I was just down there earlier this year on the Guatemalan border in Yucatan in some very primitive areas in Costa Maya that haven't even been excavated entirely.
[00:04:59.446 --> 00:05:08.650]  So with that in mind, my mother also has a degree in history and she's been a big buff on Mesoamerica.
[00:05:09.430 --> 00:05:12.551]  And so I grew up being drug around in the jungle looking at these.
[00:05:12.992 --> 00:05:15.052]  But that's not why it's the best film I've ever seen.
[00:05:15.333 --> 00:05:17.914]  The history is so incredibly accurate.
[00:05:17.954 --> 00:05:20.875]  The cinematography is unspeakably good.
[00:05:20.895 --> 00:05:22.255]  A new standard.
[00:05:24.136 --> 00:05:27.558]  In fact, I hardly ever write notes for a radio show.
[00:05:29.212 --> 00:05:34.574]  Three pages of notes here, because there's so many facets to this film.
[00:05:34.795 --> 00:05:43.318]  Then there's a vicious, disgusting hit piece by Chris Garcia in the Austin American Statesman that makes me want to puke, so we'll go over that as well.
[00:05:43.719 --> 00:05:45.199]  And I see the phones are loading up.
[00:05:46.580 --> 00:05:48.321]  Folks, you're going to hear plugs to call in.
[00:05:48.621 --> 00:05:50.902]  We'll probably take calls by the end of the hour.
[00:05:51.002 --> 00:05:51.542]  I don't know, though.
[00:05:51.862 --> 00:05:53.363]  I mean, I've got to do some serious
[00:05:53.928 --> 00:05:57.789]  Some serious analysis and praise here for this film.
[00:05:58.289 --> 00:05:59.130]  And let me say this.
[00:06:00.210 --> 00:06:04.471]  There are very few things that make me... And I don't want this in the article.
[00:06:04.511 --> 00:06:05.852]  I've got two of my writers listening right now.
[00:06:05.872 --> 00:06:07.192]  They're going to write an article off of it.
[00:06:07.352 --> 00:06:09.093]  I'm so busy, I kind of rant on air.
[00:06:09.113 --> 00:06:12.014]  Then they go vet all my facts and add more and then put it together.
[00:06:12.034 --> 00:06:15.775]  Steve Watson and Paul Watson, the dynamic duo, two brothers in England, are listening right now.
[00:06:15.795 --> 00:06:17.555]  We're going to have big reports out on this tomorrow.
[00:06:17.755 --> 00:06:19.516]  And I wanted to know, this article's important.
[00:06:20.382 --> 00:06:27.986]  Okay, I want it super good, and I know you guys can do it, because they're also going to, again, take notes off what I'm saying here and write some big reports here.
[00:06:28.586 --> 00:06:30.227]  Please don't add the groveling part here.
[00:06:30.247 --> 00:06:31.428]  I just want the listeners to know that.
[00:06:32.849 --> 00:06:36.751]  And the issue I'm about to talk about right now is that there are a few regrets I have in my life.
[00:06:37.308 --> 00:06:44.356]  One of them is I have not pursued any type of relationship with Mel Gibson, even though I've had a chance to, even though I know the family.
[00:06:44.416 --> 00:06:45.317]  I'm just going to leave it there.
[00:06:45.337 --> 00:06:52.924]  I mean, frankly, I've got a director friend here in town, great guy, love knowing him because he's a neat, smart person, but I'm not starstruck.
[00:06:52.984 --> 00:06:53.545]  Rick Linklater.
[00:06:53.986 --> 00:06:55.007]  I know Keanu Reeves.
[00:06:55.047 --> 00:06:55.867]  I know Winona Ryder.
[00:06:55.908 --> 00:06:56.668]  I know Woody Harrelson.
[00:06:56.688 --> 00:06:57.129]  I know about
[00:06:57.489 --> 00:06:58.851]  You know, I'm good friends with Charlie Sheen.
[00:06:59.271 --> 00:07:08.120]  I love Charlie Sheen because of his incredible courage to go public on 9-11-1st that's now caused David Lynch to go public and others that I was just mentioning earlier.
[00:07:08.692 --> 00:07:09.012]  Okay.
[00:07:10.012 --> 00:07:11.333]  But again, I'm not starstruck.
[00:07:11.413 --> 00:07:18.434]  I mean, I'm into inventors and scientists and people who stand up against tyranny and lawyers who represent the downtrodden.
[00:07:18.714 --> 00:07:19.954]  I mean, those are my rock stars.
[00:07:20.194 --> 00:07:21.174]  But let me just tell you something.
[00:07:21.414 --> 00:07:23.195]  I am starstruck by Mel Gibson.
[00:07:23.215 --> 00:07:28.496]  I mean, I thought the Passion of the Christ was avant-garde and amazing and I was a big fan of it.
[00:07:28.816 --> 00:07:29.796]  But let me just tell you something.
[00:07:29.996 --> 00:07:32.197]  I am like a schoolgirl here, folks.
[00:07:34.727 --> 00:07:39.833]  I mean, I'd be one of those people yelling and screaming at a line, you know, now to talk to Mel Gibson and just tell him how great this is.
[00:07:39.853 --> 00:07:42.476]  So I'm going to write him a letter and I know how to get it right into his hands.
[00:07:43.297 --> 00:07:45.179]  You know, the family are fans of my work.
[00:07:45.199 --> 00:07:48.583]  I mean, you know Mel Gibson knew about the New World Order before I was born.
[00:07:48.603 --> 00:07:52.528]  He always talks about it and speaks about it and has made films that have that underlying message in it.
[00:07:52.828 --> 00:07:54.891]  But I am frustrated that when he came to town,
[00:07:55.623 --> 00:07:56.844]  They couldn't tell me he was coming to town.
[00:07:57.424 --> 00:08:04.147]  I just got a little phone call saying, you might want to come this day to the Fantastic Fest at the Alamo Draft House, South Lamar, where I screen all my films.
[00:08:04.347 --> 00:08:04.627]  Love it.
[00:08:04.667 --> 00:08:05.187]  Great theater.
[00:08:05.568 --> 00:08:06.748]  And they just said, you might want to come this day.
[00:08:06.768 --> 00:08:09.129]  And I said, oh no thanks, because I just got a message.
[00:08:09.209 --> 00:08:10.990]  No thanks, I'm going to go visit family in East Texas.
[00:08:11.430 --> 00:08:15.112]  And I'm glad I visited family in East Texas a few months ago, but I miss being there.
[00:08:15.432 --> 00:08:19.974]  But, but, in the very same theater that he first screened, first place he screened it was Austin, Texas.
[00:08:20.772 --> 00:08:29.680]  I had a chance Friday night in the very same theater where he first screened it, the first place he came to screen it, to a big public crowd, and I got a chance to sit there and watch it.
[00:08:30.020 --> 00:08:33.243]  It totally blew me away.
[00:08:33.903 --> 00:08:35.504]  It's going to go over a lot of people's heads.
[00:08:36.365 --> 00:08:41.009]  It's got the violence for a certain level of folks, but that's just making it accurate.
[00:08:42.105 --> 00:08:44.707]  And I just have to tell you, you've got to go see this movie.
[00:08:44.747 --> 00:08:48.670]  But perhaps after you've heard me talk about it, then you'll understand why it's such a powerful film.
[00:08:48.710 --> 00:08:51.973]  And I'm sure you'll find it entertaining, riveting, terrifying, frightening.
[00:08:52.974 --> 00:09:04.203]  But if you have a background in Mesoamerica, if you've researched it, and then if you understand human society, well, if you've ever heard the show, you know I talk about the Aztecs, the overall Mayan culture, the Toltecs.
[00:09:04.503 --> 00:09:09.167]  You know I've discussed that here on AirQuad a bit and paralleled it with our society today.
[00:09:09.427 --> 00:09:11.769]  So this is near and dear to my heart, and it's Mel Gibson.
[00:09:12.410 --> 00:09:18.632]  And all I can say is, I mean, I was a fan before, but now I am just gaga over Mel Gibson.
[00:09:18.812 --> 00:09:19.732]  In fact, here are my notes.
[00:09:19.892 --> 00:09:23.193]  Let me just read through this first page, then we'll come back and I'll go over them.
[00:09:25.194 --> 00:09:27.515]  We now have the Mel Gibson standard.
[00:09:27.715 --> 00:09:30.015]  Okay, he is Stanley Kubrick on steroids.
[00:09:30.035 --> 00:09:31.316]  I'm also a big fan of Stanley Kubrick.
[00:09:31.736 --> 00:09:33.136]  Stanley Kubrick on steroids.
[00:09:33.376 --> 00:09:35.337]  He is the greatest living director.
[00:09:36.597 --> 00:09:38.918]  This film is off the chart powerful.
[00:09:39.198 --> 00:09:42.019]  Total immersion in the atmosphere.
[00:09:42.665 --> 00:09:43.346]  You are there!
[00:09:43.726 --> 00:09:44.788]  Suspended disbelief!
[00:09:45.549 --> 00:09:48.933]  The standard of casting, cinematography, the research!
[00:09:49.614 --> 00:09:55.542]  When we get back, I'll break down some of the film without giving away too much, and then tie it into modern day.
[00:09:56.302 --> 00:09:57.444]  InfoWars.com!
[00:10:03.544 --> 00:10:06.665]  It's here, after a year in production and traveling to distant lands.
[00:10:07.045 --> 00:10:09.006]  My new film, Terror Storm, is complete.
[00:10:09.366 --> 00:10:17.028]  Shocking declassified government documents prove that Western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:10:17.688 --> 00:10:24.751]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:10:25.151 --> 00:10:32.053]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spies,
[00:10:32.532 --> 00:10:36.553]  Secret police torture, the latest 9-11 information, and much, much more.
[00:10:36.873 --> 00:10:40.374]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:10:40.834 --> 00:10:42.715]  It's an anthology of government crimes.
[00:10:43.095 --> 00:10:47.016]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:10:47.536 --> 00:10:54.539]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:11:00.672 --> 00:11:01.834]  Ted Anderson from Midas.
[00:11:01.894 --> 00:11:02.495]  It's December 8, 2006.
[00:11:02.635 --> 00:11:06.620]  Golds at $634.70 and 1 oz gold coins can be purchased for $655.55, $334.40 for 1 oz and $165.16 for 1 oz coins at $655.55, $334.40 and $165.16.
[00:11:18.656 --> 00:11:31.766]  On June 4th, 1963, an unknown presidential decree, Executive Order 11110, was signed with the authority to strip the Federal Reserve Bank of its power to lend money to the United States government and interest.
[00:11:31.886 --> 00:11:35.149]  With the stroke of a pen, Kennedy would have put the Fed out of business.
[00:11:35.249 --> 00:11:38.712]  The November assassination quieted the production of the new currency.
[00:11:38.792 --> 00:11:41.794]  However, the Executive Order still stands unrepealed.
[00:11:42.054 --> 00:11:44.955]  Midas has the Kennedy vs. Fed document.
[00:11:45.016 --> 00:11:47.877]  Call 800-686-2237.
[00:11:48.097 --> 00:11:50.358]  Unlike your liberty, the paper is free.
[00:11:50.498 --> 00:11:51.239]  Call 800-686-2237.
[00:11:51.399 --> 00:11:57.462]  If you're interested in breaking the bondage of taxation and debt, call 800-686-2237.
[00:12:00.865 --> 00:12:04.449]  Are you looking for a one-stop shop to find all your favorite books and videos?
[00:12:04.709 --> 00:12:05.590]  Look no further!
[00:12:05.870 --> 00:12:08.453]  Northern Voice Bookstore has everything you need.
[00:12:08.873 --> 00:12:17.323]  Hundreds of titles, from self-defense, survival, and financial freedom, to history, politics, conspiracy, and everything you need to know about the New World Order.
[00:12:17.543 --> 00:12:23.107]  You can order everything you need on the web, 24 hours a day, at NorthernVoiceBookstore.com.
[00:12:23.408 --> 00:12:31.494]  Or, send $2 Farley's catalog to Northern Voice Bookstore, Post Office Box 281, Wildwood, PA 15091.
[00:12:31.854 --> 00:12:34.937]  Northern Voice Bookstore offers a broad range of different perspectives
[00:12:35.137 --> 00:12:35.658]  I think so.
[00:12:56.967 --> 00:13:03.013]  Are you concerned about the high cost of prescription drugs?
[00:13:03.394 --> 00:13:10.361]  Since January of 2006, RxDrugCard.com members have saved an average of $33 per prescription filled.
[00:13:10.461 --> 00:13:11.863]  That's over 46% savings!
[00:13:12.243 --> 00:13:14.525]  The average savings for generic drugs was over 71%.
[00:13:16.327 --> 00:13:24.814]  RxDrugCard.com is the only major discount prescription drug plan that offers a price lookup page, so you can get an idea of your discounted price before you enroll.
[00:13:25.054 --> 00:13:28.397]  RxDrugCard.com is for anyone who pays for their own prescriptions.
[00:13:28.597 --> 00:13:33.381]  There are no age restrictions, all prescriptions are covered, and 95% of all pharmacies in the U.S.
[00:13:33.401 --> 00:13:37.465]  participate, including Walmart, Walgreens, CVS Pharmacy, and many more.
[00:13:37.825 --> 00:13:42.289]  With RxDrugCard.com, you will save immediately with no messy forms or paperwork.
[00:13:42.609 --> 00:13:48.751]  Membership fees start at only $4.50 per month and include a 30-day unconditional money-back guarantee.
[00:13:48.851 --> 00:13:53.032]  Visit us at www.rxdrugcard.com or call us at 888-216-2461.
[00:13:53.072 --> 00:13:53.272]  That's 888-216-2461.
[00:13:53.292 --> 00:13:54.292]  Do it today!
[00:13:54.432 --> 00:13:55.892]  Thank you for listening to GCN.
[00:13:55.912 --> 00:13:57.253]  Be sure to visit GCNlive.com today.
[00:14:10.911 --> 00:14:12.873]  It's not about right versus left.
[00:14:13.394 --> 00:14:15.516]  It's about right versus wrong.
[00:14:16.197 --> 00:14:18.179]  This is the Alex Jones Show.
[00:14:18.860 --> 00:14:22.143]  Call Alex now, toll free at 877-590-5525.
[00:14:22.163 --> 00:14:24.125]  Now live from Austin, Texas.
[00:14:24.406 --> 00:14:25.507]  Here's Alex Jones.
[00:14:33.638 --> 00:14:37.880]  Yeah, Woody in Round Rock, Randy in Connecticut, Jeff's in Pennsylvania.
[00:14:37.960 --> 00:14:40.401]  He says he disagrees with me about child kidnapping services.
[00:14:40.461 --> 00:14:41.721]  I mean, child protection services.
[00:14:42.102 --> 00:14:43.842]  We'll go to you first, Jeff, when I go to calls.
[00:14:43.882 --> 00:14:52.886]  But I need to get into Apocalypto, and then we'll take calls, and I'll get back into all the other world and national news here for folks listening across the country and worldwide on the Internet.
[00:14:53.939 --> 00:14:55.780]  Boy, I tell you, there is so much to cover here.
[00:14:56.280 --> 00:15:03.682]  Basically, I mean, every angle of this film, the casting uses, you know, real indigenous populations, 90 plus percent.
[00:15:04.442 --> 00:15:09.104]  The cinematography shot in this new super digital format has a look I've never seen.
[00:15:10.204 --> 00:15:13.725]  The handheld look of some of it is the best I've ever seen it pulled off.
[00:15:14.025 --> 00:15:21.748]  I mean, this is avant-garde, or meaning totally new, state-of-the-art, at every step of the film.
[00:15:21.808 --> 00:15:22.528]  So I mean it.
[00:15:22.952 --> 00:15:30.754]  When I say that Mel Gibson is a greater director than Stanley Kubrick.
[00:15:31.134 --> 00:15:43.718]  There is no debating it in my mind, and I think that I had thought previously that that was Stanley Kubrick, and it was Stanley Kubrick because he hadn't, you know, Mel Gibson hadn't made this film yet.
[00:15:44.138 --> 00:15:52.701]  I mean, Braveheart's excellent, so is The Passion of the Christ, but, I mean, they're A-plus films, but they weren't at Kubrick level.
[00:15:53.174 --> 00:15:55.916]  This is off the charts!
[00:15:56.617 --> 00:15:57.297]  Off the charts!
[00:15:58.978 --> 00:16:01.700]  And there's a total immersion in the atmosphere.
[00:16:01.800 --> 00:16:07.485]  I have never seen a film be able to basically take me there like this film did.
[00:16:07.745 --> 00:16:09.286]  Just a whole new level.
[00:16:09.386 --> 00:16:11.688]  And there's so many levels to the film.
[00:16:11.788 --> 00:16:13.369]  So many different messages.
[00:16:13.509 --> 00:16:14.950]  And they're all good.
[00:16:15.751 --> 00:16:18.273]  It is a positive, buoying film.
[00:16:18.293 --> 00:16:19.334]  But that's in my notes later.
[00:16:19.354 --> 00:16:19.894]  I'll get to it.
[00:16:21.064 --> 00:16:24.866]  Number one, Gibson knows what we all really want, and we want the truth.
[00:16:26.047 --> 00:16:34.471]  And that's why the Patriot is the state, an out-of-control tyranny against the family, against the ragtag forces.
[00:16:34.671 --> 00:16:35.772]  And it's historical.
[00:16:35.792 --> 00:16:42.155]  It's the same thing with William Wallace and his battle against the British in Braveheart.
[00:16:42.930 --> 00:16:46.231]  And it's what we witness in Apocalypto is the truth.
[00:16:46.631 --> 00:16:51.592]  The government isn't some good, loving, sweet thing that's going to take care of you in almost every case in history.
[00:16:51.632 --> 00:16:57.394]  It is oppressive, it is brutal, it is murdering, and all you can count on is your family.
[00:16:57.654 --> 00:16:59.034]  Your family comes first.
[00:16:59.114 --> 00:16:59.875]  Your tribe.
[00:17:01.756 --> 00:17:04.978]  Extended family, and Gibson focuses in on that.
[00:17:05.018 --> 00:17:07.660]  He shows the joys of fatherhood.
[00:17:07.940 --> 00:17:13.383]  I mean, this captures the ancient hunting ritual like no other film I've ever seen.
[00:17:13.403 --> 00:17:17.586]  For people that don't understand hunting, it isn't the killing of the animals.
[00:17:17.986 --> 00:17:20.107]  It is the tribal nature of it.
[00:17:20.188 --> 00:17:23.029]  It is what mankind is designed to do.
[00:17:23.410 --> 00:17:26.712]  Men getting together and going out and hunting.
[00:17:27.712 --> 00:17:30.393]  Again, that's just a tiny part of the film.
[00:17:30.433 --> 00:17:37.776]  And then the scene with the tribal elders around the fire early on in the film, I've seen them try to capture this in 50 other movies.
[00:17:38.076 --> 00:17:41.017]  And they've never captured something like this.
[00:17:41.077 --> 00:17:43.078]  I mean, you feel the ancestral memories.
[00:17:43.098 --> 00:17:45.739]  You know, all human beings come from this.
[00:17:46.239 --> 00:17:50.641]  And whether you're Germanic or Asiatic or African, it doesn't matter.
[00:17:50.701 --> 00:17:52.402]  It stirs instinctive
[00:17:53.663 --> 00:17:54.023]  Memories.
[00:17:54.043 --> 00:17:56.745]  I'm not talking... I don't believe in reincarnation, folks.
[00:17:56.785 --> 00:18:02.208]  I mean instinctive, you know, family memories, tribal memories, genetic, race memories.
[00:18:02.488 --> 00:18:15.317]  This whole film stirs race memories, because they were doing human sacrifice in Gaul, and what is Germany today, and they were doing human sacrifice in ancient Greece, and there was human sacrifice in Asia.
[00:18:15.537 --> 00:18:16.738]  What is China today?
[00:18:16.758 --> 00:18:19.780]  I mean, the things you see in this film, the same
[00:18:20.060 --> 00:18:24.162]  This thing has happened over and over again and I'm going to explain, when we get back from break, why.
[00:18:25.783 --> 00:18:44.473]  And it details the horrors of unrestrained government and how sickos always get into control and they always want to press on the nerve of power and abuse and dominate and terrorize populations and so this is why this type of behavior is the norm, not the exception, in human society.
[00:18:45.237 --> 00:19:02.178]  Just the control freak exercise of power, the cult of power, and then the spectacles, how the people of the city feed on the people from the country, and the Britney Spears of their day, all in their garb, and all so arrogant and haughty.
[00:19:03.050 --> 00:19:09.794]  The elites in their fancy headdresses and their beads, with the front row seats to the human sacrifices.
[00:19:09.854 --> 00:19:18.619]  I see them as the decadent, know-it-all, petty yuppies of today who get upset if the line's too long or if their iPod doesn't work.
[00:19:18.659 --> 00:19:21.541]  Just these petty, decadent, weak people.
[00:19:21.821 --> 00:19:23.282]  It's illustrated perfectly
[00:19:23.622 --> 00:19:32.352]  And it shows, just like the Roman Colosseum, which was a form of human sacrifice, more stylized, ritualized hunting, that the population would view.
[00:19:32.792 --> 00:19:35.816]  So the Romans, again, that was human sacrifice, just done in a different way.
[00:19:36.096 --> 00:19:38.739]  Delivered, executed in a different format.
[00:19:40.311 --> 00:19:45.615]  You see the exact same Roman Colosseum-type human sacrifice.
[00:19:45.675 --> 00:19:47.996]  And, you know, Gibson isn't hardcore enough.
[00:19:48.016 --> 00:19:51.919]  He gets criticized by liberal anthropologists saying, well, it's just their culture.
[00:19:51.939 --> 00:19:53.000]  You can't say it's bad.
[00:19:53.240 --> 00:19:57.323]  You can't make a decision and say a culture's bad when the Nazi culture isn't bad.
[00:19:57.503 --> 00:19:58.424]  I happen to think it is.
[00:19:58.824 --> 00:20:02.386]  You know, a mass culture of death and destruction and murder and killing innocent people?
[00:20:02.606 --> 00:20:04.027]  No, that's a culture gone bad.
[00:20:04.328 --> 00:20:09.291]  It's the same thing with the Aztecs that dominated and brought down, basically, those cultures.
[00:20:10.643 --> 00:20:11.343]  Unbelievable.
[00:20:12.244 --> 00:20:28.252]  So he did hold back in that they show a big pile of dead bodies, people they've sacrificed, and according to the guides and the books I've read and what's carved on the walls down there, that most of the people they would sacrifice were cut up and eaten in
[00:20:30.954 --> 00:20:32.354]  A ritualized activity.
[00:20:32.374 --> 00:20:34.575]  The heart was burned in ashes.
[00:20:34.775 --> 00:20:39.956]  So he held back with the crowds at the feet of the pyramids when they kicked the decapitated corpse down them.
[00:20:40.457 --> 00:20:43.517]  He held back because the crowds don't eat their flesh.
[00:20:44.238 --> 00:21:00.162]  Which, according to most of the anthropologists and archaeologists and folks that have gone over the different primitive languages, it's actually complex, but by primitive I mean ancient languages, that that is what they did.
[00:21:00.765 --> 00:21:03.567]  Just unbelievably accurate.
[00:21:03.987 --> 00:21:17.195]  And you know this UT, you know, half-baked professor, assistant professor, this art professor who's in the States been criticizing it says, well when they're walking through a tunnel by one of the pyramids, it shows a head being severed.
[00:21:17.620 --> 00:21:20.002]  And blood spreading out carved on the wall.
[00:21:20.982 --> 00:21:22.603]  Well, that was from an earlier period.
[00:21:22.864 --> 00:21:25.725]  Just mindless nitpicking here.
[00:21:25.745 --> 00:21:27.627]  But does it deny that it was mass sacrifice?
[00:21:27.947 --> 00:21:29.968]  Just shows their moral relativism.
[00:21:30.008 --> 00:21:40.055]  For many years, I'll get on the radio and use the example of a culture gone bad to show Mesoamerica dominated by the Aztecs near the time of its collapse, which this film shows.
[00:21:40.735 --> 00:21:50.140]  How they would sacrifice tens of thousands on some holidays in a single day, not just when there were droughts or calamities, but when there was different astrological developments.
[00:21:51.040 --> 00:21:56.643]  On most days, at different religious centers, when the sun rose and when it set, they would kill somebody to mark it.
[00:21:58.024 --> 00:22:01.265]  People would email me or call and say, how dare you talk bad about their culture?
[00:22:01.285 --> 00:22:02.105]  You're just a racist!
[00:22:02.505 --> 00:22:05.646]  And I go, oh, well I criticize the Druid-sacrificing people.
[00:22:06.206 --> 00:22:07.526]  Oh, I criticize the Romans.
[00:22:07.566 --> 00:22:08.826]  I guess I'm against white people.
[00:22:09.207 --> 00:22:10.947]  No, I'm saying this is an evil culture.
[00:22:11.087 --> 00:22:12.507]  Well, you can't judge a culture!
[00:22:13.187 --> 00:22:19.309]  Okay, so Pol Pot wasn't bad, Stalin wasn't bad, Hitler wasn't bad, the Romans weren't bad, feeding children to the lions.
[00:22:19.909 --> 00:22:21.809]  That's okay, because it's just a culture.
[00:22:21.889 --> 00:22:22.129]  No!
[00:22:23.110 --> 00:22:24.530]  We need to make a moral
[00:22:25.544 --> 00:22:26.065]  Decision.
[00:22:26.105 --> 00:22:27.265]  We need to discern.
[00:22:27.506 --> 00:22:29.467]  We need to say what's wrong and what's evil.
[00:22:30.888 --> 00:22:34.691]  And so we'll go over what this professor said later and I'll finish up going through this film.
[00:22:36.793 --> 00:22:42.537]  But if they take your capacity to recognize evil away, then the evil can take over.
[00:22:43.057 --> 00:22:45.219]  Evil always seeks to remove the definition of evil.
[00:22:45.920 --> 00:22:47.821]  Evil always wants to take standards away.
[00:22:48.181 --> 00:22:49.082]  So it can control you.
[00:22:49.703 --> 00:22:51.844]  We'll be right back after this news break.
[00:22:52.745 --> 00:22:54.026]  We'll get into your calls too as well.
[00:22:59.966 --> 00:23:00.367]  Come on!
[00:23:00.427 --> 00:23:04.449]  People who use Cartabite know about the pollutants in our body and want them out.
[00:23:04.669 --> 00:23:08.070]  For over five years, Cartabite has proven itself time-tested.
