[00:00:00.129 --> 00:00:00.569]  D.I.C.
[00:10:09.381 --> 00:10:17.044]  Shocking declassified government documents prove that Western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:10:17.725 --> 00:10:24.767]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:10:25.167 --> 00:10:28.108]  Terror Storm chronicles the lies that took us to war in Iran.
[00:10:28.449 --> 00:10:30.810]  The White House program to disseminate fake news.
[00:10:31.230 --> 00:10:32.070]  NSA spies.
[00:10:33.487 --> 00:10:36.608]  The latest 9-11 information and much, much more.
[00:10:36.909 --> 00:10:40.391]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:10:40.871 --> 00:10:42.752]  It's an anthology of government crimes.
[00:10:43.132 --> 00:10:47.035]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:10:47.575 --> 00:10:54.899]  Get your copy today at Infowars.com or PrisonPlanet.com or by calling toll-free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv.
[00:10:59.975 --> 00:11:02.037]  Gold is like nothing else on Earth.
[00:11:02.297 --> 00:11:08.381]  From the Romans through the Renaissance, from the Industrial Age to the Space Age, gold has weathered the test of time.
[00:11:08.581 --> 00:11:12.384]  For 6,000 years, gold has remained the ultimate store of wealth.
[00:11:12.744 --> 00:11:14.626]  According to the World Gold Council and the U.S.
[00:11:14.686 --> 00:11:16.987]  Mint, demand is at an all-time high.
[00:11:17.127 --> 00:11:23.572]  The stage is being set for the re-emergence of gold as the common-sense alternative to a fiat paper currency that gets wasted.
[00:11:23.592 --> 00:11:24.173]  We're good to go.
[00:11:38.609 --> 00:11:39.490]  Call Midas today at 800-686-2237.
[00:12:00.769 --> 00:12:06.559]  With energy costs on the rise and cooler weather around the corner, isn't it time to replace your home's windows?
[00:12:07.099 --> 00:12:12.969]  Custom replacement windows from Sears are low maintenance, tilt-in easy for cleaning, and they also help reduce your energy costs.
[00:12:13.699 --> 00:12:16.580]  Add beauty to your home with custom replacement windows from Sears.
[00:12:16.860 --> 00:12:22.481]  Just call 1-800-393-8378 for a free in-home consultation.
[00:12:22.941 --> 00:12:25.422]  Call now and ask about our special financing terms.
[00:12:25.962 --> 00:12:33.123]  You can count on Sears for the quality materials and installation you have come to expect for over 100 years, and your satisfaction is guaranteed.
[00:12:33.583 --> 00:12:35.704]  Call now for your free in-home consultation.
[00:12:36.244 --> 00:12:38.486]  Ask about our special financing terms.
[00:12:38.526 --> 00:12:38.766]  That's 1-800-393-8378.
[00:13:00.407 --> 00:13:08.330]  For years, you've been hearing about Herbal Healer Academy and how it's remained a leader in effective alternative and natural medicine and education.
[00:13:08.790 --> 00:13:11.931]  But how can they continue to hold that title for years on end?
[00:13:12.351 --> 00:13:15.372]  The answer is high quality and huge selection.
[00:13:15.772 --> 00:13:20.594]  Just visit HerbalHealer.com and shop online or request a free catalog.
[00:13:21.014 --> 00:13:23.355]  You're bound to find the alternative you're looking for.
[00:13:24.105 --> 00:13:28.751]  Did you know that Herbal Healer carries the latest, safest, and effective weight loss products?
[00:13:29.292 --> 00:13:35.179]  You can also count on Herbal Healer for the largest selection of safe and natural supplements just for children.
[00:13:35.479 --> 00:13:36.641]  And don't forget your pets.
[00:13:37.122 --> 00:13:42.769]  Herbal Healer even has natural mineral supplements for all your animals, including horses, cows, and birds.
[00:13:43.229 --> 00:13:49.593]  Take a peek at their online calendar and you're sure to find everything you need and maybe something you didn't realize you needed.
[00:13:50.093 --> 00:13:54.976]  Visit HerbalHealer.com and don't forget to sign up for the free Herbal Healer newsletter.
[00:13:55.516 --> 00:13:58.898]  HerbalHealer.com, working with the power of nature.
[00:13:58.918 --> 00:14:03.400]  This is the GCN Radio Network.
[00:14:13.240 --> 00:14:17.003]  You're experiencing Alex Jones, live from deep in the heart of Texas.
[00:14:17.384 --> 00:14:18.885]  Call Alex toll-free at 877-590-5525.
[00:14:19.025 --> 00:14:28.333]  My gosh, I've got to live up to that liner.
[00:14:28.353 --> 00:14:30.475]  It's like experiencing a fine wine.
[00:14:30.515 --> 00:14:33.057]  More like Jack Daniels, ladies and gentlemen.
[00:14:33.077 --> 00:14:35.399]  All right, thank you so much for joining us.
[00:14:36.240 --> 00:14:36.860]  Look at these calls.
[00:14:36.880 --> 00:14:37.761]  They're all over the map.
[00:14:38.829 --> 00:14:48.513]  Toll-free number to join us, 877-590-KLBJ, or 877-590-5525, locally, 836-0590, or toll-free call on your wireless at pound 590.
[00:14:48.994 --> 00:14:49.454]  Look at this.
[00:14:50.074 --> 00:14:52.375]  It's Richard in Circle C. That's right here in Texas.
[00:14:52.875 --> 00:14:54.076]  Smoke detector question.
[00:14:54.776 --> 00:14:56.437]  I guess that's from earlier or something.
[00:14:56.757 --> 00:15:00.499]  It says, Clay, it says, North Korea, World War III.
[00:15:01.539 --> 00:15:02.459]  He wants to talk about that.
[00:15:02.519 --> 00:15:03.920]  Ground zero on the anniversary.
[00:15:03.960 --> 00:15:05.861]  Dan's calling us from New York, says he was there with us.
[00:15:06.397 --> 00:15:07.978]  Paul is calling from Austin.
[00:15:07.998 --> 00:15:11.999]  He wants to talk about the earthquake in Hawaii, and we will take your call on that subject.
[00:15:12.259 --> 00:15:27.565]  Though all I can say is that if you live on a volcanic island, an island where two major plates are colliding with each other in the ring of fire, the heart of the ring of fire out in the middle of the Pacific blue, you're going to have earthquakes.
[00:15:27.685 --> 00:15:28.405]  What was it, 6.4?
[00:15:28.825 --> 00:15:30.265]  It destroyed a road.
[00:15:30.606 --> 00:15:31.626]  Some houses collapsed.
[00:15:32.245 --> 00:15:33.127]  Hawaii's beautiful.
[00:15:33.167 --> 00:15:34.128]  It's a wonderful place.
[00:15:34.208 --> 00:15:35.510]  And they rarely have earthquakes.
[00:15:35.570 --> 00:15:37.052]  And people rarely get hurt by them.
[00:15:37.092 --> 00:15:39.736]  And I say that, you know, thank God nobody got hurt.
[00:15:39.756 --> 00:15:40.757]  But really, it's no big deal.
[00:15:40.777 --> 00:15:43.461]  It wouldn't stop me from going to Hawaii or living in Hawaii.
[00:15:44.342 --> 00:15:48.808]  But what might stop me, though, is the fact that I'm told people that live there, friends and family,
[00:15:49.090 --> 00:15:52.171]  There's all kinds of bugs, stinging bugs, come sneaking in your house at night.
[00:15:52.371 --> 00:15:55.052]  But I guess you can just call an exterminator for that.
[00:15:55.092 --> 00:15:58.453]  All right, now burned, precious time, mindlessly babbling.
[00:15:58.833 --> 00:15:59.233]  I do it.
[00:15:59.313 --> 00:15:59.973]  I can't help it.
[00:15:59.993 --> 00:16:07.276]  I kind of just get on air and flip a switch and never think and just start moving forward with the little lexicon in my brain.
[00:16:08.856 --> 00:16:10.017]  Folks, this is huge news.
[00:16:10.097 --> 00:16:14.938]  When I saw this yesterday morning, Saturday morning, I literally began jumping up and down.
[00:16:14.978 --> 00:16:15.598]  Well, let me be clear.
[00:16:15.658 --> 00:16:17.299]  I first analyzed the actual poll.
[00:16:19.163 --> 00:16:34.357]  I actually, by Angus and Reed, which is just as respected, it's in the top three in the world, firms that study and do focus groups and polling, and they were hired to do this poll I'm about to tell you about by the New York Times and CBS News.
[00:16:35.747 --> 00:16:40.128]  But I took about 20 minutes to read the actual poll, to read all the one or two articles that were about it.
[00:16:40.508 --> 00:16:42.548]  Really, it's kind of a news blackout on something this big.
[00:16:42.929 --> 00:16:57.071]  And then when I realized that this was scientific and this was accurate and it matched with past polls that we'd seen, I literally began jumping up and down and yelling like I'd just won the Super Bowl and I was the star quarterback, okay, and was going to get a $2 million bonus.
[00:16:57.472 --> 00:16:59.332]  My wife ran into the office and said, What's going on?
[00:16:59.352 --> 00:17:01.252]  And I said, Look at this!
[00:17:01.352 --> 00:17:02.252]  Ha ha!
[00:17:02.893 --> 00:17:04.613]  And what is this, my friends?
[00:17:07.871 --> 00:17:09.351]  Scientific poll, 84%.
[00:17:13.773 --> 00:17:18.515]  Ladies and gentlemen, my point by all of these theatrics, and these are heartfelt.
[00:17:19.016 --> 00:17:21.517]  I don't have to manufacture them in my heart and my mind right now.
[00:17:21.537 --> 00:17:26.339]  This is why I actually want to start screaming and laughing and acting like Woody Woodpecker.
[00:17:26.619 --> 00:17:27.779]  I mean, this is exciting here.
[00:17:28.740 --> 00:17:29.600]  Because this is my fight.
[00:17:29.640 --> 00:17:32.141]  This is my family's future, your family's future.
[00:17:32.221 --> 00:17:34.342]  Everything hinges on this, even if you don't know it.
[00:17:35.257 --> 00:17:39.798]  Scientific poll, 84% reject official 9-11 story.
[00:17:42.159 --> 00:17:42.899]  Let me say that again.
[00:17:43.479 --> 00:17:47.801]  Scientific poll, 84% reject official 9-11 story.
[00:17:48.201 --> 00:17:50.482]  Only 16% now believe official fable.
[00:17:50.682 --> 00:17:55.763]  According to the New York Times, CBS News poll, truth movement has the huge majority of opinion.
[00:17:56.103 --> 00:17:57.804]  How will the Bush cabal react?
[00:17:58.424 --> 00:18:00.364]  And this is an article by Steve Watson and Alex Jones.
[00:18:00.384 --> 00:18:01.945]  We wrote this yesterday afternoon together.
[00:18:02.771 --> 00:18:06.013]  And you can go read the English and read the actual poll.
[00:18:06.034 --> 00:18:10.056]  I know thousands of respondents scientifically here in the United States.
[00:18:10.457 --> 00:18:15.100]  If you go research polling agencies, which I do, Scripps Howard News Service is very respected.
[00:18:15.140 --> 00:18:16.201]  Zogby is very respected.
[00:18:16.621 --> 00:18:18.242]  This polling agency is very respected.
[00:18:19.083 --> 00:18:20.044]  They're in the top three.
[00:18:20.444 --> 00:18:21.985]  And this is unbelievable.
[00:18:22.931 --> 00:18:26.894]  But you see, it mirrors the, quote, unscientific polls.
[00:18:26.934 --> 00:18:29.817]  There have been several on CNN, 90% believe there's a cover-up.
[00:18:30.037 --> 00:18:34.981]  When I was on CNN, they had a poll with a record 45,000 respondents on headline news.
[00:18:35.001 --> 00:18:39.004]  You can only vote once, though, so it was somewhat scientific, but they claim, well, anybody can go vote.
[00:18:39.264 --> 00:18:41.206]  So it's not exactly, it's not randomly selected.
[00:18:41.466 --> 00:18:42.967]  It's whoever was seeing that show.
[00:18:43.247 --> 00:18:45.009]  But it's still somewhat scientific, but not totally. 84%.
[00:18:47.168 --> 00:18:53.674]  When I was involved in the whole Charlie Sheen thing on Public on 9-11, I believed there was a cover-up and could be government involvement.
[00:18:55.256 --> 00:18:55.796]  And be patient.
[00:18:55.816 --> 00:18:56.657]  We're going to go break in a minute.
[00:18:56.677 --> 00:18:58.679]  We'll come back from break and go to your calls about everything.
[00:18:59.700 --> 00:19:04.325]  But to make a long story short here, then we have other scientific polls...
[00:19:05.132 --> 00:19:06.634]  I think we're good to go.
[00:19:23.637 --> 00:19:25.037]  Okay, with these national polls.
[00:19:25.237 --> 00:19:27.478]  They had one in New York City, found even higher numbers.
[00:19:27.718 --> 00:19:29.678]  They had one in New York State, even higher numbers.
[00:19:29.698 --> 00:19:30.638]  There have been a bunch of polls.
[00:19:30.898 --> 00:19:33.819]  Scripps Howard News Service was the only one that ever got big media attention.
[00:19:34.079 --> 00:19:36.139]  I mean, hundreds of papers, all over the nightly news.
[00:19:36.299 --> 00:19:40.560]  Remember two months ago, 36% believed the government carried out the attacks.
[00:19:41.040 --> 00:19:41.921]  Again, that number.
[00:19:41.941 --> 00:19:44.061]  68% believed there was a cover-up.
[00:19:44.481 --> 00:19:49.382]  Well, you see, when you study polls and history and trends in societies, which I've done,
[00:19:51.203 --> 00:19:51.544]  It's simple.
[00:19:51.604 --> 00:19:54.226]  I just go to the experts and check out their analysis.
[00:19:54.746 --> 00:20:03.633]  You learn that it took 35 years, roughly, for half of the American people to believe that criminal elements of the government killed JFK.
[00:20:04.093 --> 00:20:09.077]  Now, five years later, on the 40th anniversary, three years ago,
[00:20:09.790 --> 00:20:11.111]  The average poll was 92%.
[00:20:11.391 --> 00:20:17.513]  I averaged 12 polls together, which I studied polling groups and found that they like to average scientific polls.
[00:20:17.973 --> 00:20:20.774]  Really, that's what Bush and Clinton and Karl Rove do.
[00:20:20.794 --> 00:20:21.694]  They get a bunch of polls.
[00:20:21.894 --> 00:20:22.715]  They don't just trust one.
[00:20:22.755 --> 00:20:23.635]  They average them together.
[00:20:23.955 --> 00:20:27.656]  And so what I did is they said 85% believe they killed Kennedy, 90-something percent.
[00:20:27.956 --> 00:20:32.258]  I averaged them together and got 92% wrote a big article about it, believe the government killed Kennedy.
[00:20:33.911 --> 00:20:34.932]  Well, it's the same thing here.
[00:20:35.113 --> 00:20:42.542]  Now we see an exponential growth, whereas it took 40-something years to get 80-plus percent believing the government killed Kennedy.
[00:20:43.162 --> 00:20:50.011]  Now, in less than five years, we had 60-plus percent believing there's a cover-up, and then two months later, it jumps to 84 percent.
[00:20:50.311 --> 00:20:53.595]  When you get numbers growing that fast, it's exponential.
[00:20:54.289 --> 00:20:59.556]  And I would suggest it will be down in major polls to 10% who you probably never will wake up.
[00:21:00.056 --> 00:21:04.862]  I mean, Bush could come out on TV and say, I ordered the attacks and here's how we did it, and they wouldn't believe it.
[00:21:05.123 --> 00:21:05.363]  Okay?
[00:21:06.949 --> 00:21:08.210]  I mean, it's denial.
[00:21:09.011 --> 00:21:21.019]  It's like when that lady that was married to John Wayne Gacy who had 30-something young boys buried in the bottom of his basement, and she just thought the stink was dead animals down there, and she just still couldn't believe it.
[00:21:21.319 --> 00:21:23.241]  I can't believe he's killing them!
[00:21:23.261 --> 00:21:26.623]  It didn't matter how many photos and trophies of skulls there were down there.
[00:21:27.609 --> 00:21:29.850]  So 10% of you are not going to listen ever.
[00:21:30.271 --> 00:21:32.112]  But here it is, scientific poll.
[00:21:32.693 --> 00:21:36.716]  In two months, we've gone from 68%, believing there's a cover-up, to 84%.
[00:21:38.898 --> 00:21:42.721]  And here, let me imitate and emulate someone I learned so much from.
[00:21:44.250 --> 00:21:47.671]  I have the article right here, my friends.
[00:21:48.271 --> 00:21:55.333]  Okay, go to prisonplanet.com if you want to read this, if you want to see this, if you want to find out the truth and the reality.
[00:21:55.513 --> 00:21:57.874]  If you'd like to join us on air and talk about this, toll free 877-590-5525.
[00:21:57.894 --> 00:21:59.074]  That's 877-590-KLBJ or 836-0590 here in Central Tejas.
[00:22:09.904 --> 00:22:11.425]  This is amazing.
[00:22:11.505 --> 00:22:13.466]  Do you hear what we're telling you?
[00:22:13.506 --> 00:22:15.347]  Do you hear what was just reported?
[00:22:15.667 --> 00:22:20.750]  Later when we get back, just briefly, and then we'll go to your calls, I will actually read to you what the poll question was exactly.
[00:22:21.651 --> 00:22:24.373]  In case you don't have internet or aren't going to have the time to go look this up.
[00:22:24.753 --> 00:22:33.278]  And then again later, towards the end of the show in the second hour, just teasing you now, Rush Limbaugh attached Democratic kook Alex Jones on 9-11.
[00:22:33.358 --> 00:22:33.578]  Oh yes.
[00:22:36.081 --> 00:22:36.421]  We're good to go.
[00:23:01.181 --> 00:23:04.323]  We understand that decisions related to health can be overwhelming.
[00:23:04.563 --> 00:23:11.367]  That is why at ResearchedHerbs.com we take pride in offering you herbs whose safety and effectiveness have been proven time and time again.
[00:23:11.827 --> 00:23:25.175]  For example, did you know that Live52, the top-selling natural herbal supplement for liver diseases since 1930, is backed by over 300 research studies and clinical trials and prescribed by more than 200,000 health professionals worldwide?
[00:23:25.495 --> 00:23:29.217]  In fact, the effectiveness of all the herbs featured on ResearchedHerbs.com
[00:23:29.591 --> 00:23:29.851]  Thank you.
[00:24:01.434 --> 00:24:02.015]  Hello, friends.
[00:24:02.095 --> 00:24:03.796]  Alex Jones here with an important question.
[00:24:04.036 --> 00:24:06.058]  When was the last time you used pure soap?
[00:24:06.218 --> 00:24:13.365]  I mean, real hard to find all-natural pure soap that contains no dyes, perfumes, deodorants, detergents, or other dangerous toxins.
[00:24:13.525 --> 00:24:22.053]  The Calvin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for healthcare professionals and hospitals.
[00:24:22.433 --> 00:24:27.118]  Now for the first time, Calvin Pure Soap is available factory direct to you and your family.
[00:24:27.258 --> 00:24:31.302]  That's great news because Calvin Pure Soap is made from all natural ingredients.
[00:24:31.502 --> 00:24:33.944]  It's earth-friendly and completely environmentally safe.
[00:24:34.105 --> 00:24:38.449]  So if you want yesterday's values today for good old-fashioned pure soap, call 1-800-340-7091.
[00:24:41.852 --> 00:24:45.374]  Save up to 85% off supermarket and retail store prices.
