[00:00:04.523 --> 00:00:06.424]  Waging war on corruption.
[00:03:10.398 --> 00:03:13.120]  Yes, there was a party there presenting that.
[00:03:15.504 --> 00:03:17.986]  Now, have you seen them building a camp?
[00:03:18.046 --> 00:03:19.527]  Are you talking about military bases?
[00:03:19.627 --> 00:03:28.873]  I know that in Seattle, at Sandpoint Naval Brig, they put 500 of the protesters in a, quote, FEMA camp run by the military.
[00:03:28.934 --> 00:03:31.315]  I have that on videotape in my film, The Takeover.
[00:03:31.335 --> 00:03:37.059]  This particular document, second question, is this federal or state?
[00:03:37.079 --> 00:03:39.481]  Can you detail that for us?
[00:03:39.541 --> 00:03:42.143]  This was before the, this is federal.
[00:03:42.737 --> 00:03:46.119]  This was before the United States Senate 94th Congress.
[00:03:46.539 --> 00:03:50.361]  And so you were looking over this and what exactly did this entail?
[00:03:50.881 --> 00:04:06.489]  Well, now I need to clarify whether at least the cover would give it the appearance that this partial table of contents of concentration camps, whether
[00:04:08.001 --> 00:04:19.666]  Whether they took action on that, like I say, preliminary, they may have discussed it, but whether they took action to form that is certainly uncertain at this time.
[00:04:19.726 --> 00:04:28.489]  Well, I have video from 1986 in Congress where they bring up the camps and the Chairman tells Congressman Jack Brooks to shut up.
[00:04:29.490 --> 00:04:33.612]  I, sir, and I'm going to have to get your address and send it to you, have been to FEMA camps.
[00:04:33.752 --> 00:04:36.853]  I have videotaped troops trying to take our guns.
[00:04:37.989 --> 00:04:48.935]  And just so you know, if you'll go to InfoWars.com, my website, just today I posted Rocky Mountain News Story, LA Times Story,
[00:04:49.910 --> 00:04:50.911]  And Newsmax story.
[00:04:50.931 --> 00:04:54.733]  And let me just read you, Commissioner, some of this.
[00:04:55.213 --> 00:04:57.134]  State prepares for bioterrorism.
[00:04:57.154 --> 00:04:59.315]  Executive orders give Governor additional powers.
[00:04:59.876 --> 00:05:01.617]  Jim Erickson, Rocky Mountain News.
[00:05:01.977 --> 00:05:10.602]  State of Colorado would seize antibiotics, remake disease-ridden corpses, and under certain circumstances, dig mass graves under executive orders.
[00:05:11.269 --> 00:05:16.472]  Then it goes into the round-up plans, the plans to block off the highways, the model states of the Emergency Powers Act.
[00:05:16.973 --> 00:05:17.913]  Here's another one, L.A.
[00:05:17.973 --> 00:05:21.736]  Times, Jonathan Turley, 08-1402.
[00:05:23.097 --> 00:05:31.882]  Camps for Citizens, Ashcroft's hellish vision, Attorney General shows himself a menace to liberty, goes into the Attorney General's arguments in federal court.
[00:05:33.403 --> 00:05:35.424]  Four concentration camps, L.A.
[00:05:35.464 --> 00:05:35.785]  Times.
[00:05:37.045 --> 00:05:37.846]  Here's Newsmax.
[00:05:38.750 --> 00:05:49.942]  On the FEMA purchase order, now nine months ago, for three one million man camps to be completed by January 1st, now
[00:05:51.363 --> 00:05:51.883]  No, I was not.
[00:06:16.784 --> 00:06:37.468]  All as I was aware of the page 2 of the doc, well there's several pages here, but it just mentioned that Washington State, Okanagan County was a site for massive concentration camps boarding Canada, and it would be capable of holding hundreds of thousands of prisoners if need be.
[00:06:40.718 --> 00:06:47.423]  And most of it's federal land, so I guess unless you had a helicopter and flew over every square inch of it, you wouldn't be able to locate any of those systems.
[00:06:47.463 --> 00:06:55.668]  We know Sand Point is a FEMA relocation center, but do you have any other locations of areas?
[00:06:56.789 --> 00:06:57.469]  No, I don't.
[00:07:00.331 --> 00:07:04.674]  Well, I think it's a healthy discussion to get this news out to the people, because
[00:07:06.495 --> 00:07:12.740]  It is real, but it's something that's so bizarre, it's hard for even myself to believe it, but it is happening.
[00:07:13.240 --> 00:07:16.183]  What type of response have you gotten by the local news?
[00:07:16.303 --> 00:07:20.806]  I mean, by simply saying, hey, I got a document here about concentration camp plans.
[00:07:20.846 --> 00:07:21.847]  What response are you getting?
[00:07:23.008 --> 00:07:27.471]  I'm getting a considerable amount of negative comments.
[00:07:27.551 --> 00:07:29.873]  There are some that are very positive.
[00:07:32.427 --> 00:07:34.529]  It's been a very interesting mix.
[00:07:34.849 --> 00:07:45.977]  Well, all I'm telling you is, if you go to my website right now, you can prove the Federal Emergency Management Agency spokesman a liar for saying that it, quote, sounds like an urban legend.
[00:07:47.898 --> 00:07:55.444]  I mean, I have Senate hearings, in fact, joint congressional hearings, with them admitting FEMA in the camps in the mid-80s.
[00:07:56.947 --> 00:08:03.930]  I have the news articles where the FEMA has put the bids out last year to have them completed by a few months ago.
[00:08:05.091 --> 00:08:07.472]  And then you got the Pentagon saying they never heard of such a thing.
[00:08:07.492 --> 00:08:13.014]  Did you know there's actually 12 civilian inmate labor camps already in full operation since fiscal year 88?
[00:08:14.855 --> 00:08:16.156]  Was it declassified until 97?
[00:08:16.436 --> 00:08:19.757]  Yeah, I'm not aware of that.
[00:08:20.798 --> 00:08:26.040]  I realize that many of the studies that we've had two and three decades ago
[00:08:26.932 --> 00:08:35.298]  Merely for example, like the Endangered Species Act, any of these started out as a preliminary draft and then they became a plan.
[00:08:35.998 --> 00:08:45.605]  And if a person, a citizen, would have said 20 years ago when some of these plans were adopted,
[00:08:46.749 --> 00:08:48.270]  You're off the wall here.
[00:08:48.290 --> 00:08:52.232]  Yeah, they're going to say you've got a frog on your land so we're taking your property.
[00:08:52.693 --> 00:08:52.973]  Right.
[00:08:52.993 --> 00:08:54.914]  If you'd have told somebody that, that would never have happened.
[00:08:55.314 --> 00:09:04.259]  Right, and see, we are endangered with the number of fish here in our area and it's affecting our water rights severely.
[00:09:05.720 --> 00:09:11.063]  They've taken away some of the water rights from the land owners here and it's becoming a real problem.
[00:09:12.290 --> 00:09:17.014]  Well, it's feudalism and serfdom, but don't worry, they'll have relocation centers for you when you don't have jobs.
[00:09:19.156 --> 00:09:23.839]  You know, try asking FEMA about, okay, do you have emergency relocation centers?
[00:09:23.859 --> 00:09:25.481]  And then they'll say, oh, yes.
[00:09:26.401 --> 00:09:31.766]  You just should have asked and said, well, will we be searched and disarmed and shackled?
[00:09:32.106 --> 00:09:35.789]  Well, when you first come in, well, are the women and men and children separated?
[00:09:35.889 --> 00:09:36.990]  For their safety, yes.
[00:09:37.390 --> 00:09:41.634]  See, we have them all admitting this, but they're not hamps, they're
[00:09:42.330 --> 00:09:45.473]  They're love centers, Commissioner.
[00:09:45.493 --> 00:09:48.135]  They sell with all definitions.
[00:09:51.157 --> 00:09:51.698]  Interesting.
[00:09:53.359 --> 00:09:54.780]  Do you have access to a computer?
[00:09:54.800 --> 00:09:56.561]  Not right now.
[00:09:56.621 --> 00:10:00.084]  I've got about five more minutes and I need to... No, I understand.
[00:10:00.144 --> 00:10:04.188]  What I'm saying is, will you go visit my website today?
[00:10:04.228 --> 00:10:05.849]  Yes, I need that website again.
[00:10:07.601 --> 00:10:15.067]  www.infowars.com.
[00:10:18.050 --> 00:10:21.352]  And there's also another site, prisonplanet.com.
[00:10:21.493 --> 00:10:23.614]  This is what we do is expose this here.
[00:10:24.655 --> 00:10:25.696]  And it's posted there.
[00:10:25.756 --> 00:10:28.719]  You can read the articles I just mentioned, including the article you're in.
[00:10:29.751 --> 00:10:38.353]  and uh... you can then go to FEMA and say well here's your here's your beds for these camps last year to build them by January 1st this year which has now been done.
[00:10:39.033 --> 00:10:40.134]  Would you like to explain this to me?
[00:10:41.354 --> 00:10:57.618]  okay uh... and uh... their smoke screen for this commissioner is the model states health emergency powers act any other you say you're getting some negative comments what type of comments you're getting uh... basically uh...
[00:10:58.423 --> 00:10:59.764]  What's wrong with you?
[00:11:00.104 --> 00:11:10.527]  We're in America here and it's a shame that we take that attitude that nothing's ever going to happen to us.
[00:11:11.367 --> 00:11:21.551]  My concern for our county here is we now give more to fish than we do to our public health department.
[00:11:21.971 --> 00:11:25.212]  Our public health department is a budget that is stretched to the limits.
[00:11:25.942 --> 00:11:32.567]  So basically, you read the federal document about a plan years ago for a camp in your area.
[00:11:33.047 --> 00:11:35.609]  You complained about it and said, I want to know what's going on here.
[00:11:36.069 --> 00:11:37.270]  And the feds lied to you.
[00:11:37.310 --> 00:11:38.190]  I'll tell you that right now.
[00:11:40.812 --> 00:11:45.235]  I'd like to find out the truth there, whether the documents are...
[00:11:48.713 --> 00:11:56.095]  I don't know about that particular document, but I've got it on video, sir.
[00:11:56.595 --> 00:11:58.696]  I've got a C-span.
[00:12:00.717 --> 00:12:06.558]  I'll tell you what, I will have my producer call you back or go to the website.
[00:12:10.149 --> 00:12:14.191]  Get the mailing address, send me a letter telling me what videos you want and I'll send them to you free of charge.
[00:12:14.211 --> 00:12:17.132]  I just say that because there's a good chance I'll forget and won't do it.
[00:12:17.712 --> 00:12:19.873]  But I've produced four films on this subject.
[00:12:19.913 --> 00:12:24.575]  Police State 2000, The Takeover, Road to Tyranny, and Masters of Terror.
[00:12:25.976 --> 00:12:26.816]  Exposing this.
[00:12:27.970 --> 00:12:29.171]  And it's all detailed.
[00:12:29.791 --> 00:12:32.412]  So you think people are kind of in an illusional state.
[00:12:32.472 --> 00:12:33.953]  They don't want to hear about this.
[00:12:34.013 --> 00:12:35.914]  They think nothing bad could happen here.
[00:12:35.954 --> 00:12:42.137]  I would remind them that with asset forfeiture seizure, the police have been taking people's property without drugs even being found.
[00:12:42.417 --> 00:12:43.557]  Could that happen in America?
[00:12:43.838 --> 00:12:44.618]  It is happening.
[00:12:44.798 --> 00:12:45.358]  Yes, it is.
[00:12:46.819 --> 00:12:48.600]  In fact, I hear Seattle's real bad about that.
[00:12:49.800 --> 00:12:53.002]  We're over on the east side in the dry part of the country.
[00:12:54.799 --> 00:12:58.300]  We have that curtain between the east side and the west side.
[00:12:58.820 --> 00:13:00.661]  What type of positive comments are you getting?
[00:13:02.002 --> 00:13:22.669]  There's a lot of people that seem to, and these are older people that have military background and are much more familiar with the patriotic aspect to America, that they've seen some of this take place, you know,
[00:13:24.384 --> 00:13:26.666]  Uh, in the early days with World War II.
[00:13:27.906 --> 00:13:35.171]  And, uh, no doubt FEMA, uh, we belong to FEMA, which is the Federal Emergency Management Act.
[00:13:35.331 --> 00:13:45.557]  Uh, if there's some type of a disaster, that there has to be some type of a plan, uh, to, uh, address the type of disaster that's taking place.
[00:13:45.737 --> 00:13:48.138]  Well, I just want to tell you, and I have expertise on the subject.
[00:13:48.739 --> 00:13:50.500]  I'm not trying to brag, I just studied it in depth.
[00:13:51.388 --> 00:13:58.536]  FEMA is designed, in continuity of government, to use a mass crisis as a smoke screen for the expansion of federal powers.
[00:14:00.078 --> 00:14:01.039]  And that's what we're facing.
[00:14:01.079 --> 00:14:04.082]  Well, Commissioner, Dave Schultz, anything else you'd like to add?
[00:14:04.603 --> 00:14:07.807]  No, I thank you very much, and I must get to another meeting.
[00:14:08.167 --> 00:14:09.368]  Alright, thanks for coming on with us.
[00:14:09.388 --> 00:14:09.709]  Take care.
[00:14:11.420 --> 00:14:21.142]  All right, well, he reads some federal documents and says, hey, there are other camps, you know, you list our county, and then the feds say, we don't know what you're talking about, and I got all these articles where they are doing it.
[00:14:21.242 --> 00:14:23.123]  And I got video of them in the Senate doing it.
[00:14:23.203 --> 00:14:29.664]  I'm saying camps, FEMA, relocation centers, apprehend Americans, imprison them in internment camps, you know.
[00:14:30.845 --> 00:14:32.125]  And there's still denials.
[00:14:32.265 --> 00:14:36.086]  But you call the cops up, or you call the feds up and go, what's this about a new world order?
[00:14:36.826 --> 00:14:38.987]  Dangerous people talk about that.
[00:14:39.187 --> 00:14:40.827]  That's a code word for evil.
[00:14:41.641 --> 00:14:43.623]  No, well wait, the President just gave a speech about it.
[00:14:44.843 --> 00:14:45.664]  I've got to go.
[00:14:45.724 --> 00:14:46.605]  Can't talk about it.
[00:14:47.165 --> 00:14:47.946]  Well, wait.
[00:14:49.647 --> 00:14:51.769]  The UN just set a new world order and all this.
[00:14:52.910 --> 00:14:55.932]  They're setting up a world taxation and world court and all this.
[00:14:57.553 --> 00:14:58.574]  I don't want to talk about it.
[00:14:58.734 --> 00:15:00.635]  That's code words for evil.
[00:15:01.496 --> 00:15:03.938]  We're not even supposed to discuss what they're doing.
[00:15:05.059 --> 00:15:05.739]  It's a double thing.
[00:15:05.879 --> 00:15:07.140]  It's Big Brother land.
[00:15:09.113 --> 00:15:10.333]  It's crazy is what it is.
[00:15:11.074 --> 00:15:12.274]  Who's up next, Mark?
[00:15:15.855 --> 00:15:18.316]  All right, Buck in North Carolina.
[00:15:18.356 --> 00:15:19.216]  Buck, you're on the air.
[00:15:19.236 --> 00:15:19.696]  Go ahead.
[00:15:19.716 --> 00:15:20.916]  All right, Alex.
[00:15:20.956 --> 00:15:30.339]  About an hour after I talked to you yesterday concerning the FBI agent refusing to look at your tape, my son called from school.
[00:15:30.379 --> 00:15:37.701]  They had pulled him out of his class, searched him, and were searching his locker, saying that he had a
